# Every entry in the four CV copies ADR-003 merged, as extracted by
# scripts/python/check_cv_sources.py.  Regenerate with `make cv-inventory`;
# `make cv-check` fails when this file and the copies disagree.
#
# Committed so that what the checker reads is reviewable in a diff, and so
# that an extractor which breaks and finds nothing fails a check instead of
# reporting a clean run over an empty list.  Do not edit by hand.
#
# id	section	text
cvrepo:talks:ams-fall-western-sectional-meeting-special-s	Talks	[AMS Fall Western Sectional Meeting: Special Session in Algebraic Logic](http://www.ams.org/meetings/sectional/2235_program_ss1.html)
cvrepo:talks:the-rectangularity-theorem-of-barto-and-kozi	Talks	[*The Rectangularity Theorem of Barto and Kozik*](https://github.com/williamdemeo/Talks/tree/master/Boulder/slides) Boulder 2016\
cvrepo:talks:algebras-and-algorithms-structure-and-comple	Talks	[Algebras and Algorithms: Structure and Complexity Theory](http://math.colorado.edu/algebra2016/index.html)
cvrepo:talks:constraint-satisfaction-problems-and-univers	Talks	[*Constraint Satisfaction Problems and Universal Algebra*](https://github.com/williamdemeo/Talks/tree/master/MGS/2016) Birmingham, UK 2016\
cvrepo:talks:midlands-graduate-school-in-the-foundation-o	Talks	[Midlands Graduate School in the Foundation of Computing Science](http://www.cs.bham.ac.uk/~pbl/mgs2016/)
cvrepo:talks:permutability-in-diamonds-ames-2016	Talks	*Permutability in Diamonds* Ames 2016\
cvrepo:talks:iowa-state-algebra-and-combinatorics-seminar	Talks	[Iowa State Algebra and Combinatorics Seminar](http://orion.math.iastate.edu/jdhsmith/math/smarks15.htm)
cvrepo:talks:which-commutative-idempotent-binars-are-trac	Talks	[*Which Commutative Idempotent Binars are Tractable?*](http://www.math.vanderbilt.edu/~moorm10/shanks/talks/demeo-slides.pdf) Nashville 2015\
cvrepo:talks:vanderbilt-shanks-workshop-open-problems-in	Talks	[Vanderbilt Shanks workshop: Open Problems in Universal Algebra](http://www.math.vanderbilt.edu/~moorm10/shanks/)
cvrepo:talks:some-small-finite-algebras-yielding-tractabl	Talks	*Some Small Finite Algebras Yielding Tractable CSP Templates* Ames 2015\
cvrepo:talks:iowa-state-algebra-and-combinatorics-seminar~2	Talks	[Iowa State Algebra and Combinatorics Seminar](http://orion.math.iastate.edu/jdhsmith/math/smarks15.htm)
cvrepo:talks:algebraic-csp-and-tractability-of-commutativ	Talks	[*Algebraic CSP and Tractability of Commutative Idempotent Binars*](https://github.com/williamdemeo/Talks/tree/master/BLAST/BLAST2015) Denton 2015\
cvrepo:talks:blast-conference-university-of-north-texas	Talks	[BLAST Conference, University of North Texas](https://math.unt.edu/blast2015unt)
cvrepo:talks:isotopic-algebras-ames-2015	Talks	*Isotopic Algebras* Ames 2015\
cvrepo:talks:iowa-state-algebra-and-combinatorics-seminar~3	Talks	[Iowa State Algebra and Combinatorics Seminar](http://orion.math.iastate.edu/jdhsmith/math/smarks15.htm)
cvrepo:talks:what-does-a-nonabelian-group-sound-like-balt	Talks	[*What Does a Nonabelian Group Sound Like?*](https://jointmathematicsmeetings.org/amsmtgs/2160_abstracts/1096-c5-2578.pdf) Baltimore 2014\
cvrepo:talks:maa-special-session-at-the-intersection-of-m	Talks	[MAA Special Session: At the Intersection of Mathematics and the Arts](https://jointmathematicsmeetings.org/meetings/national/jmm2014/2160_program_thursday.html)
cvrepo:talks:interval-enforceable-properties-of-finite-gr	Talks	[Interval Enforceable Properties of Finite Groups](https://github.com/williamdemeo/Talks/tree/master/AMS/Louisville2013) Louisville 2013\
cvrepo:talks:ams-special-session-on-finite-universal-alge	Talks	AMS Special Session on Finite Universal Algebra
cvrepo:talks:tutorial-uacalc-at-the-command-line-and-in-t	Talks	*Tutorial: UACalc at the command line and in the cloud* Louisville 2013\
cvrepo:talks:workshop-on-computational-universal-algebra	Talks	Workshop on Computational Universal Algebra
cvrepo:talks-cont:approximating-eigenvalues-of-large-stochasti	Talks (cont.)	*Approximating Eigenvalues of Large Stochastic Matrices* Columbia 2013\
cvrepo:talks-cont:university-of-south-carolina-combinatorics-s	Talks (cont.)	University of South Carolina Combinatorics Seminar
cvrepo:talks-cont:congruence-lattices-of-finite-algebras-plena	Talks (cont.)	[*Congruence Lattices of Finite Algebras (plenary lecture)*](https://github.com/williamdemeo/Talks/tree/master/BLAST/BLAST2013) Orange 2013\
cvrepo:talks-cont:blast-conference-chapman-university	Talks (cont.)	BLAST Conference, Chapman University
cvrepo:talks-cont:transposition-principles-for-subgroups-and-e	Talks (cont.)	[*Transposition Principles for Subgroups and Equivalence Relations*](https://github.com/williamdemeo/Talks/tree/master/Zassenhaus/WCU-2013) Asheville 2013\
cvrepo:talks-cont:zassenhaus-group-theory-conference	Talks (cont.)	Zassenhaus Group Theory Conference
cvrepo:talks-cont:isotopic-algebras-with-nonisomorphic-congrue	Talks (cont.)	[*Isotopic Algebras with Nonisomorphic Congruence Lattices*](https://github.com/williamdemeo/Talks/tree/master/AMS/Boulder2013) Boulder 2013\
cvrepo:talks-cont:ams-special-session-on-algebras-lattices-and	Talks (cont.)	AMS Special Session on Algebras, Lattices, and Varieties
cvrepo:talks-cont:synchronizing-automata-and-the-cerny-conject	Talks (cont.)	[*Synchronizing Automata and the Černý Conjecture*](https://williamdemeo.files.wordpress.com/2012/12/cugradalgebraseminar.pdf) Boulder 2013\
cvrepo:talks-cont:graduate-algebra-seminar-university-of-color	Talks (cont.)	Graduate Algebra Seminar, University of Colorado
cvrepo:talks-cont:the-finite-lattice-representation-problem-in	Talks (cont.)	*The Finite Lattice Representation Problem in Four Parts* Columbia 2012\
cvrepo:talks-cont:university-of-south-carolina-algebra-and-log	Talks (cont.)	University of South Carolina Algebra and Logic Seminar
cvrepo:talks-cont:interval-sublattice-enforceable-properties-o	Talks (cont.)	[*Interval Sublattice Enforceable Properties of Finite Groups*](https://github.com/williamdemeo/Talks/tree/master/Zassenhaus/OSU-2012) Columbus 2012\
cvrepo:talks-cont:the-31st-ohio-state-denison-mathematics-conf	Talks (cont.)	The 31st Ohio State-Denison Mathematics Conference
cvrepo:talks-cont:expansions-of-finite-algebras-and-their-cong	Talks (cont.)	[*Expansions of Finite Algebras and their Congruence Lattices*](https://github.com/williamdemeo/Talks/tree/master/AMS/Honolulu2012) Honolulu 2012\
cvrepo:talks-cont:american-mathematical-society-sectional-meet	Talks (cont.)	American Mathematical Society sectional meeting
cvrepo:talks-cont:intervals-in-subgroup-lattices-and-permutati	Talks (cont.)	*Intervals in Subgroup Lattices and Permutation Representations* Cullowhee 2012\
cvrepo:talks-cont:western-carolina-university-group-theory-sem	Talks (cont.)	Western Carolina University Group Theory Seminar
cvrepo:talks-cont:recent-progress-on-the-finite-lattice-repres	Talks (cont.)	*Recent Progress on the Finite Lattice Representation Problem* Honolulu 2011\
cvrepo:talks-cont:achievement-rewards-for-college-scientists-s	Talks (cont.)	Achievement Rewards for College Scientists: Scholar Presentations
cvrepo:talks-cont:the-finite-lattice-representation-problem-se	Talks (cont.)	*The Finite Lattice Representation Problem* Seoul, Korea 2009\
cvrepo:talks-cont:first-joint-meeting-of-the-korean-and-americ	Talks (cont.)	First Joint Meeting of the Korean and American Mathematical Societies
cvrepo:references:clifford-bergman	References	**Clifford Bergman** `*`
cvrepo:references:professor-of-mathematics	References	Professor of Mathematics
cvrepo:references:iowa-state-university	References	Iowa State University
cvrepo:references:396-carver-hall	References	396 Carver Hall
cvrepo:references:ames-iowa-50011	References	Ames, Iowa 50011
cvrepo:references:cbergman-at-iastate-dot-edu	References	[cbergman at iastate dot edu](mailto:cbergman@iastate.edu)
cvrepo:references:venanzio-capretta	References	**Venanzio Capretta**
cvrepo:references:assistant-professor-of-computer-science	References	Assistant Professor of Computer Science
cvrepo:references:university-of-nottingham	References	University of Nottingham
cvrepo:references:room-b83-computer-science	References	Room B83 Computer Science
cvrepo:references:jubilee-campus-wollaton-road	References	Jubilee Campus, Wollaton Road
cvrepo:references:nottingham-ng8-1bb-uk	References	Nottingham NG8 1BB UK
cvrepo:references:venanzio-dot-capretta-at-nottingham-dot-ac-d	References	[Venanzio dot Capretta at nottingham dot ac dot uk](mailto:Venanzio.Capretta@nottingham.ac.uk)
cvrepo:references:ralph-freese	References	**Ralph Freese**
cvrepo:references:professor-of-mathematics~2	References	Professor of Mathematics
cvrepo:references:university-of-hawaii	References	University of Hawaii
cvrepo:references:2565-mccarthy-mall	References	2565 McCarthy Mall
cvrepo:references:honolulu-hi-96822	References	Honolulu, HI 96822
cvrepo:references:ralph-at-math-dot-hawaii-dot-edu	References	[ralph at math dot hawaii dot edu](mailto:ralph@math.hawaii.edu)
cvrepo:references:peter-jipsen	References	**Peter Jipsen**
cvrepo:references:professor-of-mathematics~3	References	Professor of Mathematics
cvrepo:references:chapman-university	References	Chapman University
cvrepo:references:545-w-palm-ave	References	545 W. Palm Ave
cvrepo:references:orange-ca-92866	References	Orange, CA 92866
cvrepo:references:jipsen-at-chapman-dot-edu	References	[jipsen at chapman dot edu](mailto:jipsen@chapman.edu)
cvrepo:references:peter-mayr	References	**Peter Mayr** `*`
cvrepo:references:assistant-professor-of-mathematics	References	Assistant Professor of Mathematics
cvrepo:references:university-of-colorado-boulder	References	University of Colorado, Boulder
cvrepo:references:2300-colorado-avenue	References	2300 Colorado Avenue
cvrepo:references:boulder-co-80309	References	Boulder, CO 80309
cvrepo:references:peter-mayr-at-colorado-dot-edu	References	[peter mayr at colorado dot edu](mailto:peter.mayr@colorado.edu)
cvrepo:references:teaching-reference	References	`*` teaching reference
zola:preamble:curriculum-vit-of-william-demeo-5-dec-2021	(preamble)	CURRICULUM VITÆ of WILLIAM DeMEO 5 Dec 2021
zola:contact-information:tel-1-516-912-3162	Contact Information	tel: +1-516-912-3162
zola:contact-information:address-570-park-ave-apt-8d-new-york-ny-1006	Contact Information	address: 570 Park Ave, Apt 8D, New York, NY 10065
zola:contact-information:url-williamdemeo-org	Contact Information	url: [williamdemeo.org](https://williamdemeo.org)
zola:contact-information:email-williamdemeo-gmail-com	Contact Information	email: [williamdemeo@gmail.com](mailto:williamdemeo@gmail.com)
zola:research-interests:theory-universal-algebra-logic-complexity-th	Research Interests	*Theory*. Universal algebra, logic, complexity theory, type theory, category theory, machine learning.
zola:research-interests:practice-proof-mechanization-in-agda-functio	Research Interests	*Practice*. Proof mechanization in Agda, functional programming for Big Data in Scala/Spark.
zola:education:doctor-of-philosophy-in-mathematics-universi	Education	Doctor of Philosophy in Mathematics, University of Hawaii, Honolulu (May 2012).
zola:education:thesis-congruence-lattices-of-finite-algebra	Education	Thesis: [Congruence lattices of finite algebras](https://arxiv.org/abs/1204.4305)
zola:education:advisor-ralph-freese	Education	Advisor: Ralph Freese
zola:education:master-of-science-in-mathematics-courant-ins	Education	Master of Science in Mathematics, Courant Institute, New York University, New York.
zola:education:thesis-approximating-eigenvalues-of-large-st	Education	Thesis: [Approximating eigenvalues of large stochastic matrices](https://williamdemeo.github.io/MSThesis)
zola:education:advisor-jonathan-goodman	Education	Advisor: Jonathan Goodman
zola:education:bachelor-of-arts-in-economics-university-of	Education	Bachelor of Arts in Economics, University of Virginia, Charlottesville.
zola:academic-appointments:postdoctoral-fellow-charles-university-dept	Academic Appointments	*Postdoctoral Fellow*, Charles University, Dept. of Algebra, Prague (2019--2021).
zola:academic-appointments:burnett-meyer-instructor-university-of-color	Academic Appointments	*Burnett Meyer Instructor*, University of Colorado, Dept. of Mathematics, Boulder (2017--2019).
zola:academic-appointments:visiting-assistant-professor-university-of-h	Academic Appointments	*Visiting Assistant Professor*, University of Hawaii, Dept. of Mathematics, Honolulu (2016--2017).
zola:academic-appointments:postdoctoral-associate-iowa-state-university	Academic Appointments	*Postdoctoral Associate*, Iowa State University, Dept. of Mathematics, Ames (2014--2016).
zola:academic-appointments:visiting-assistant-professor-univ-south-caro	Academic Appointments	*Visiting Assistant Professor*, Univ South Carolina, Dept. of Mathematics, Columbia (2012--2014).
zola:industry-appointments:senior-research-scientist-textron-systems-co	Industry Appointments	Senior Research Scientist, Textron Systems Corp., Digital Imaging Research, Maui (2001--2006) Worked full-time on [AFOSR](https://www.afrl.af.mil/AFOSR/) contracts developing new algorithms and parallel (smp and mpi) programs for processing images acquired by [Haleakala Observatories](http://www.ifa.hawaii.edu/haleakalanew/observatories.shtml), including Multi-frame Blind Deconvolution for removing distorting effects of Earth's atmosphere from images of satellites and other NEOs; executed our programs on the [MHPCC supercomputer](http://www.mhpcc.hpc.mil/).
zola:publications:constraint-satisfaction-problems-over-finite	Publications	[Constraint Satisfaction Problems over Finite Structures](https://ieeexplore.ieee.org/document/9470670), with Libor Barto and Antoine Mottet.
zola:publications:36th-annual-acm-ieee-symp-on-logic-in-comp-s	Publications	*36th Annual ACM/IEEE Symp. on Logic in Comp. Sci.* (LICS 2021), pp. 1--13 ([preprint link](https://arxiv.org/abs/2010.04958))
zola:publications:bounded-homomorphisms-and-finitely-generated	Publications	[Bounded homomorphisms and finitely generated fiber products of lattices](https://www.worldscientific.com/doi/10.1142/S0218196720500174), with Peter Mayr and Nik Ruškuc.
zola:publications:intl-j-of-algebra-and-computation-30-693-710	Publications	*Intl. J. of Algebra and Computation* (30):693--710, 2020 ([preprint link](https://arxiv.org/abs/1907.08046))
zola:publications:polynomial-time-tests-for-difference-terms-i	Publications	[Polynomial-time tests for difference terms in idempotent varieties](https://www.worldscientific.com/doi/10.1142/S021819671950036X), with Ralph Freese and Matthew Valeriote.
zola:publications:international-journal-of-algebra-and-computa	Publications	*International Journal of Algebra and Computation* (29):927--949, 2019 ([preprint link](https://arxiv.org/abs/2011.07879))
zola:publications:isotopic-algebras-with-nonisomorphic-congrue	Publications	[Isotopic algebras with nonisomorphic congruence lattices](https://link.springer.com/article/10.1007%2Fs00012-014-0301-4), *Algebra Universalis* (72):295--298, 2014 ([preprint link](https://arxiv.org/abs/1301.7481))
zola:publications:expansions-of-finite-algebras-their-congruen	Publications	[Expansions of finite algebras & their congruence lattices](https://link.springer.com/article/10.1007/s00012-013-0226-3), *Algebra Universalis* (69):257--278, 2013 ([preprint link](https://arxiv.org/abs/1205.1106))
zola:publications:proceedings-of-algebras-and-lattices-in-hawa	Publications	[Proceedings of Algebras and Lattices in Hawaii 2018](http://www.lulu.com/shop/kira-adaricheva-and-william-demeo-and-jennifer-hyndman/algebras-and-lattices-in-hawaii-honoring-ralph-freese-bill-lampe-and-jb-nation/paperback/product-23634583.html), editor, with K. Adaricheva, J. Hyndman ([Lulu Press](http://www.lulu.com/shop/kira-adaricheva-and-william-demeo-and-jennifer-hyndman/algebras-and-lattices-in-hawaii-honoring-ralph-freese-bill-lampe-and-jb-nation/paperback/product-23634583.html)).
zola:publications:topics-in-nonabelian-harmonic-analysis-and-d	Publications	[Topics in nonabelian harmonic analysis and DSP applications](https://github.com/williamdemeo/ISMA2004/raw/master/DeMeo-ISMA2004-FinalPaper.pdf) (best paper award)
zola:publications:proceedings-of-the-international-symposium-o	Publications	*Proceedings of the International Symposium on Musical Acoustics*, Nara, Japan, 2004 ([preprint link](https://github.com/williamdemeo/ISMA2004/raw/master/DeMeo-ISMA2004-FinalPaper.pdf))
zola:publications:characterizing-musical-signals-with-wigner-v	Publications	[Characterizing musical signals with Wigner-Ville interferences](https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.3582&rep=rep1&type=pdf)
zola:publications:proceedings-of-the-international-computer-mu	Publications	*Proceedings of the International Computer Music Conference* (ICMC 2002), Gothenburg, Sweden, 2002 ([preprint link](https://github.com/williamdemeo/ICMC2002/raw/master/DeMeo-ICMC2002.pdf))
zola:publications:approximating-eigenvalues-of-large-stochasti	Publications	[Approximating eigenvalues of large stochastic matrices](https://williamdemeo.github.io/MSThesis)
zola:publications:proceedings-of-the-8th-copper-mt-conference	Publications	*Proceedings of the 8th Copper Mt. Conference on Iterative Methods*, Colorado, 1998 ([preprint link](https://williamdemeo.github.io/MSThesis))
zola:publications:publications-in-process	Publications	*Publications in Process*.
zola:publications:universal-algebraic-methods-for-constraint-s	Publications	[Universal algebraic methods for constraint satisfaction problems](https://arxiv.org/abs/1611.02867), with Clifford Bergman
zola:publications:accepted-to-appear-in-logical-methods-in-com	Publications	(accepted) to appear in *Logical Methods in Computer Science* ([preprint link](https://arxiv.org/abs/1611.02867))
zola:publications:a-machine-checked-proof-of-birkhoff-s-variet	Publications	[A machine-checked proof of Birkhoff's variety theorem in Martin-Löf type theory](https://arxiv.org/abs/2101.10166), with J. Carette
zola:publications:submitted-27th-intl-conf-on-types-for-proofs	Publications	(submitted) *27th Intl~Conf. on Types for Proofs and Programs* (TYPES 2021) ([preprint link](https://arxiv.org/abs/2101.10166))
zola:publications:books-these-are-works-in-progress	Publications	*Books* (these are works in progress)
zola:publications:category-theory-a-concise-course-with-c-aten	Publications	[Category Theory: a concise course](https://categorytheory.gitlab.io), with C. Aten and V. Capretta
zola:publications:the-agda-universal-algebra-library-with-jacq	Publications	[The Agda Universal Algebra Library](https://ualib.gitlab.io/agda-algebras), with Jacques Carette
zola:publications:complex-analysis-exams	Publications	[Complex Analysis Exams](http://complexanalysis.gitlab.io)
zola:publications:real-analysis-exams	Publications	[Real Analysis Exams](http://realanalysis.gitlab.io)
zola:courses-taught:charles-university-in-prague	Courses Taught	*Charles University in Prague*
zola:courses-taught:universal-algebra-nmag-405-winter-2020-link	Courses Taught	[Universal Algebra (NMAG 405) Winter 2020](https://gitlab.com/universalalgebra/charlesuniversity/nmag405) ([link](https://gitlab.com/universalalgebra/charlesuniversity/nmag405))
zola:courses-taught:university-of-colorado-boulder	Courses Taught	*University of Colorado, Boulder*
zola:courses-taught:discrete-mathematics-with-lean-prover-compon	Courses Taught	[Discrete Mathematics with Lean prover component (Math 2001) Spring 2019](https://github.com/williamdemeo/math2001-spring2019)
zola:courses-taught:discrete-mathematics-with-lean-prover-compon~2	Courses Taught	Discrete Mathematics with Lean prover component (Math 2001) Fall 2018
zola:courses-taught:abstract-algebra-math-3140-fall-2018	Courses Taught	[Abstract Algebra (Math 3140) Fall 2018](https://github.com/williamdemeo/math3140-fall2018)
zola:courses-taught:model-theory-graduate-course-math-6000-sprin	Courses Taught	[Model Theory graduate course (Math 6000) Spring 2018](https://github.com/williamdemeo/math6000-spring2018)
zola:courses-taught:linear-algebra-math-2130-spring-2018	Courses Taught	[Linear Algebra (Math 2130) Spring 2018](https://github.com/williamdemeo/math2130-spring2018)
zola:courses-taught:linear-algebra-math-2130-fall-2017	Courses Taught	Linear Algebra (Math 2130), Fall 2017.
zola:courses-taught:university-of-hawaii	Courses Taught	*University of Hawaii*
zola:courses-taught:applied-calculus-math-215-spring-2017	Courses Taught	Applied Calculus (Math 215) Spring 2017
zola:courses-taught:senior-seminar-math-480-spring-2017	Courses Taught	Senior Seminar (Math 480) Spring 2017
zola:courses-taught:calculus-iv-math-244-fall-2016	Courses Taught	[Calculus IV (Math 244) Fall 2016](https://github.com/williamdemeo/math244-fall2016)
zola:courses-taught:introduction-to-advanced-math-math-321-fall	Courses Taught	[Introduction to Advanced Math (Math 321) Fall 2016](https://github.com/williamdemeo/math321-fall2016)
zola:courses-taught:iowa-state-university	Courses Taught	*Iowa State University*
zola:courses-taught:linear-algebra-math-317-spring-2016	Courses Taught	[Linear Algebra (Math 317) Spring 2016](https://github.com/williamdemeo/Math317-Spring2016)
zola:courses-taught:linear-algebra-math-317-fall-2015	Courses Taught	Linear Algebra (Math 317) Fall 2015
zola:courses-taught:survey-of-calculus-math-160-fall-2015	Courses Taught	[Survey of Calculus (Math 160) Fall 2015](https://github.com/williamdemeo/Math160-Fall2015)
zola:courses-taught:elementary-linear-algebra-math-207-spring-20	Courses Taught	[Elementary Linear Algebra (Math 207) Spring 2015](https://github.com/williamdemeo/Math207-Spring2015)
zola:courses-taught:calculus-i-math-165-spring-2015	Courses Taught	[Calculus I (Math 165) Spring 2015](https://github.com/williamdemeo/Math165-Spring2015)
zola:courses-taught:abstract-algebra-math-301-fall-2014	Courses Taught	Abstract Algebra (Math 301) Fall 2014
zola:courses-taught:calculus-i-math-165-fall-2014	Courses Taught	Calculus I (Math 165) Fall 2014
zola:courses-taught:university-of-south-carolina	Courses Taught	*University of South Carolina*
zola:courses-taught:linear-algebra-graduate-course-math-700-spri	Courses Taught	[Linear Algebra graduate course (Math 700) Spring 2014](https://github.com/williamdemeo/Math700Spring2014)
zola:courses-taught:calculus-i-math-141-spring-2014	Courses Taught	[Calculus I (Math 141) Spring 2014](https://github.com/williamdemeo/Math141Spring2014)
zola:courses-taught:discrete-structures-math-374-fall-2013	Courses Taught	Discrete Structures (Math 374) Fall 2013
zola:courses-taught:calculus-for-business-and-social-sciences-ma	Courses Taught	Calculus for Business and Social Sciences (Math 122) Fall 2013
zola:courses-taught:discrete-structures-math-374-spring-2013	Courses Taught	Discrete Structures (Math 374) Spring 2013
zola:courses-taught:calculus-for-business-and-social-sciences-ma~2	Courses Taught	Calculus for Business and Social Sciences (Math 122) Spring 2013
zola:courses-taught:vector-calculus-math-241-fall-2012	Courses Taught	Vector Calculus (Math 241) Fall 2012
zola:courses-taught:calculus-for-business-and-social-sciences-ma~3	Courses Taught	Calculus for Business and Social Sciences (Math 122) Fall 2012
zola:courses-taught:university-of-hawaii~2	Courses Taught	*University of Hawaii*
zola:courses-taught:probability-theory-math-371-summer-2011	Courses Taught	Probability Theory (Math 371) Summer 2011
zola:courses-taught:applied-calculus-i-math-215-summer-2009	Courses Taught	Applied Calculus I (Math 215) Summer 2009
zola:courses-taught:mathematical-reasoning-math-100-summer-2010	Courses Taught	Mathematical Reasoning (Math 100) Summer 2010
zola:certificates-in-data-sci:blockchain-basics-suny-at-buffalo-4-week-cou	Certificates in Data Science	Blockchain Basics (SUNY at Buffalo) 4-week Coursera course; grade: 100% ([verified certificate](https://www.coursera.org/account/accomplishments/verify/4NP2MX787UAG))
zola:certificates-in-data-sci:big-data-analysis-with-scala-and-spark-ecole	Certificates in Data Science	Big Data Analysis with Scala and Spark (Ecole Polytechnique Federale de Lausanne), 4-week Coursera course; grade: 93.4% ([verified certificate](https://www.coursera.org/account/accomplishments/records/93DVEX3QH86L))
zola:certificates-in-data-sci:functional-programming-principles-in-scala-e	Certificates in Data Science	Functional Programming Principles in Scala (Ecole Polytechnique Federale de Lausanne), 6-week Coursera course; grade: 100% ([verified certificate](https://www.coursera.org/account/accomplishments/records/CKWD8PLCPW4E))
zola:certificates-in-data-sci:functional-programming-design-in-scala-ecole	Certificates in Data Science	Functional Programming Design in Scala (Ecole Polytechnique Federale de Lausanne), 4-week Coursera course; grade: 100% ([verified certificate](https://www.coursera.org/account/accomplishments/records/2WE2UZSR5AAZ))
zola:certificates-in-data-sci:parallel-programming-in-scala-ecole-polytech	Certificates in Data Science	Parallel Programming in Scala (Ecole Polytechnique Federale de Lausanne), 4-week Coursera course; grade: 100%, ([verified certificate](https://www.coursera.org/account/accomplishments/records/3XV34H6BTTHC))
zola:certificates-in-data-sci:startup-engineering-stanford-university-12-w	Certificates in Data Science	Startup Engineering (Stanford University), 12-week Coursera course; grade: 99.3 ([verified certificate](https://www.coursera.org/maestro/api/certificate/get_certificate?course_id=970374))
zola:honors-and-awards:nsf-research-grant-no-1500218-2015-2018	Honors and Awards	NSF Research Grant (no. 1500218 (2015--2018)
zola:honors-and-awards:project-title-algebras-and-algorithms-struct	Honors and Awards	Project Title: Algebras and algorithms, structure and complexity theory
zola:honors-and-awards:description-3-yr-collaborative-research-on-a	Honors and Awards	Description: 3-yr collaborative research on algebraic approaches to constraint satisfaction problems
zola:honors-and-awards:role-postdoctoral-research-fellow-on-a-team	Honors and Awards	Role: Postdoctoral research fellow on a team with 6 senior scientists and 3 postdocs
zola:honors-and-awards:magellan-scholar-grant-2013-2014	Honors and Awards	Magellan Scholar Grant (2013--2014)
zola:honors-and-awards:project-title-what-does-a-nonabelian-group-s	Honors and Awards	Project Title: What does a nonabelian group sound like?
zola:honors-and-awards:description-see	Honors and Awards	Description: See http://soundmath.github.io/GroupSound/
zola:honors-and-awards:role-faculty-mentor-for-undergraduate-resear	Honors and Awards	Role: Faculty mentor for undergraduate research
zola:honors-and-awards:arcs-sarah-ann-martin-award-for-outstanding	Honors and Awards	ARCS Sarah Ann Martin Award for Outstanding Research in Mathematics, Honolulu 2011.
zola:honors-and-awards:best-paper-award-international-symposium-on	Honors and Awards	Best Paper Award, International Symposium on Musical Acoustics, Nara, Japan, 2004.
zola:synergistic-activities:organizer	Synergistic Activities	Organizer
zola:synergistic-activities:blast-2019-conference-boulder-2019	Synergistic Activities	[BLAST 2019 Conference, Boulder 2019](https://math.colorado.edu/blast/2019/index.html)
zola:synergistic-activities:algebras-and-lattices-in-hawaii-conference-h	Synergistic Activities	[Algebras and Lattices in Hawaii Conference, Honolulu 2018](https://universalalgebra.github.io/ALH-2018/)
zola:synergistic-activities:workshop-on-computational-universal-algebra	Synergistic Activities	[Workshop on Computational Universal Algebra, Louisville 2013](http://universalalgebra.wordpress.com/meetings/2013-workshop-on-computational-universal-algebra/)
zola:synergistic-activities:editor-for-journal-algebra-universalis-2018	Synergistic Activities	Editor for Journal: "Algebra Universalis" 2018--present.
zola:synergistic-activities:referee-for-journals-algebra-universalis-ord	Synergistic Activities	Referee for Journals: "Algebra Universalis," "Order" and "Journal of Logic & Analysis," 2012--present.
zola:synergistic-activities:working-group-on-graduate-education-universi	Synergistic Activities	Working Group on Graduate Education, University of Hawaii.
zola:synergistic-activities:graduate-student-representative-on-committee	Synergistic Activities	Graduate Student Representative on committee of deans and department heads;
zola:synergistic-activities:helped-draft-resolution-for-committee-on-res	Synergistic Activities	helped draft resolution for Committee on Research and Graduate Education.
zola:synergistic-activities:graduate-student-organization-faculty-senate	Synergistic Activities	Graduate Student Organization: Faculty Senate Student Rep., Academic Committee Chair, Math Department Rep.
zola:synergistic-activities:mentor-for-undergraduate-research-mathematic	Synergistic Activities	Mentor for Undergraduate Research: Mathematical Biology Program (mentored students in math and dsp for classifying marine life audio signals)
zola:synergistic-activities:student-advising	Synergistic Activities	Student Advising
zola:synergistic-activities:university-of-colorado-boulder-served-on-doc	Synergistic Activities	University of Colorado, Boulder: Served on doctoral candidacy exam committee for the following ph.d. students: Jordan DuBeau, Ali Latfi, Athena Sparks, Michael Wheeler, and Jeffrey Shriner.
zola:synergistic-activities:iowa-state-university-reu-mentor-for-charlot	Synergistic Activities	Iowa State University: REU mentor for Charlotte Aten; Honors thesis advisor for Joshua Thompson; Putnam Exam mentor at weekly exam practice meetings; Undergraduate Tea cohost of weekly undergraduate student gatherings; Iowa 4-H Youth Conference volunteer mentor.
zola:synergistic-activities:university-of-south-carolina-honors-thesis-m	Synergistic Activities	University of South Carolina: Honors thesis mentor for Matthew Corley; South Carolina High School Math Contest exam design committee; Faculty mentor for Pi Mu Epsilon (math honors society).
zola:summer-schools-attended:midlands-graduate-school-in-the-foundations	Summer Schools Attended	[Midlands Graduate School in the Foundations of Computing Science, April 12--16, 2021](https://staffwww.dcs.shef.ac.uk/people/G.Struth/mgs21.html), Univ. of Sheffield (virtual); category theory, homotopy type theory, proof theory.
zola:summer-schools-attended:midlands-graduate-school-in-the-foundations~2	Summer Schools Attended	[Midlands Graduate School in the Foundations of Computing Science, April 14--18, 2019](http://events.cs.bham.ac.uk/mgs2019/), Univ. of Birmingham; lambda calculus, category theory, univalent type theory in Agda.
zola:summer-schools-attended:oregon-programming-languages-summer-school-j	Summer Schools Attended	[Oregon Programming Languages Summer School, July 3--21, 2018](https://www.cs.uoregon.edu/research/summerschool/summer18/topics.php), University of Oregon; parallelism and concurrency.
zola:summer-schools-attended:computer-aided-mathematical-proof-july-10-14	Summer Schools Attended	[Computer-aided Mathematical Proof, July 10--14, 2017](https://www.newton.ac.uk/event/bprw01), Cambridge University; bringing proof technology into mainstream mathematics.
